Customer Number,Applied Loan Amount in Lacs,Month,Fin Year,Month Year,Sanction Amt in Lacs,Disb Amt in Lacs,SDF Branch
73,12,6,2019,#N/A,9.6,8.83,Ranchi
74,12,10,2018,#N/A,9.6,8.83,Jaipur
75,6,4,2017,#N/A,4.8,4.42,Pune
76,18,7,2019,#N/A,14.4,13.25,Pune
77,5,2,2017,#N/A,4,3.68,Chennai
78,1,1,2018,#N/A,0.8,0.74,Srinagar
79,1,1,2018,#N/A,0.8,0.74,Srinagar
80,3,3,2017,#N/A,2.4,2.21,Aurangabad
81,8,5,2019,#N/A,7.6,6.99,Delhi
82,18,8,2018,#N/A,14.4,13.25,Bengaluru
83,22,3,2019,#N/A,20.9,19.23,Aurangabad
84,20,9,2019,#N/A,16,14.72,Delhi
85,18,5,2018,#N/A,17.1,15.73,Nagpur
86,10,3,2017,#N/A,8,7.36,Chandigarh
87,18,3,2018,#N/A,17.1,15.73,Delhi
88,2,1,2018,#N/A,1.6,1.47,Bengaluru
89,9,11,2019,#N/A,7.2,6.62,Ranchi
90,4,5,2017,#N/A,3.8,3.50,Jaipur
91,8,11,2018,#N/A,6.4,5.89,Pune
92,2,8,2019,#N/A,1.6,1.47,Bengaluru
93,10,8,2018,#N/A,9.5,8.74,Gandhinagar
94,14,1,2019,#N/A,13.3,12.24,Delhi
95,12,5,2018,#N/A,9.6,8.83,Aurangabad
96,4,3,2018,#N/A,3.2,2.94,Mumbai
97,5,2,2017,#N/A,4,3.68,Aurangabad
98,18,6,2017,#N/A,17.1,15.73,Chennai
99,6,10,2019,#N/A,4.8,4.42,Aurangabad
100,9,4,2017,#N/A,7.2,6.62,Bengaluru
101,2,12,2017,#N/A,1.9,1.75,Bhopal
102,8,2,2017,#N/A,6.4,5.89,Jaipur
103,8,9,2018,#N/A,6.4,5.89,Aurangabad
104,5,11,2017,#N/A,4,3.68,Shillong
105,10,9,2017,#N/A,9.5,8.74,Nasik
106,8,11,2018,#N/A,6.4,5.89,Bengaluru
107,9,5,2019,#N/A,7.2,6.62,Delhi
108,10,3,2018,#N/A,8,7.36,Srinagar
109,10,4,2018,#N/A,8,7.36,Bhopal
110,4,1,2019,#N/A,3.2,2.94,Jaipur
111,2,6,2018,#N/A,1.6,1.47,Pune
112,12,7,2018,#N/A,11.4,10.49,Bengaluru
113,22,3,2019,#N/A,17.6,16.19,Ranchi
114,12,10,2017,#N/A,9.6,8.83,Ranchi
115,5,7,2017,#N/A,4,3.68,Pune
116,11,2,2019,#N/A,8.8,8.10,Gandhinagar
117,14,2,2017,#N/A,13.3,12.24,Mumbai
118,12,6,2018,#N/A,9.6,8.83,Pune
119,10,9,2019,#N/A,8,7.36,Mumbai
120,5,12,2019,#N/A,4,3.68,Srinagar
121,4,3,2017,#N/A,3.8,3.50,Ranchi
122,5,7,2018,#N/A,4,3.68,Gandhinagar
123,18,8,2018,#N/A,14.4,13.25,Mumbai
124,18,12,2017,#N/A,17.1,15.73,Aurangabad
125,14,7,2017,#N/A,13.3,12.24,Mumbai
126,12,2,2019,#N/A,9.6,8.83,Bengaluru
127,1,9,2017,#N/A,0.8,0.74,Aurangabad
128,22,8,2018,#N/A,20.9,19.23,Delhi
129,8,9,2017,#N/A,6.4,5.89,Chennai
130,6,4,2019,#N/A,5.7,5.24,Ranchi
131,14,2,2019,#N/A,11.2,10.30,Bhopal
132,8,2,2018,#N/A,6.4,5.89,Chandigarh
133,1,4,2018,#N/A,0.8,0.74,Srinagar
134,1,3,2017,#N/A,0.8,0.74,Bengaluru
135,4,2,2018,#N/A,3.2,2.94,Nasik
136,10,1,2017,#N/A,9.5,8.74,Pune
137,2,8,2018,#N/A,1.6,1.47,Nagpur
138,5,4,2018,#N/A,4,3.68,Pune
139,18,9,2019,#N/A,14.4,13.25,Mumbai
140,18,12,2017,#N/A,17.1,15.73,Delhi
141,22,4,2017,#N/A,17.6,16.19,Chennai
142,2,6,2018,#N/A,1.9,1.75,Srinagar
143,1,2,2017,#N/A,0.8,0.74,Mumbai
144,4,6,2018,#N/A,3.2,2.94,Nagpur
145,8,1,2019,#N/A,7.6,6.99,Aurangabad
146,16,12,2017,#N/A,12.8,11.78,Jaipur
147,8,8,2018,#N/A,6.4,5.89,Bengaluru
148,2,11,2017,#N/A,1.6,1.47,Srinagar
149,12,1,2018,#N/A,9.6,8.83,Aurangabad
150,16,5,2019,#N/A,12.8,11.78,Bhopal
151,12,7,2019,#N/A,9.6,8.83,Aurangabad
152,22,2,2018,#N/A,20.9,19.23,Bhopal
153,6,3,2017,#N/A,4.8,4.42,Bhopal
154,22,4,2019,#N/A,17.6,16.19,Chandigarh
155,10,10,2019,#N/A,8,7.36,Mumbai
156,5,2,2017,#N/A,4,3.68,Nagpur
157,4,2,2017,#N/A,3.2,2.94,Mumbai
158,2,1,2019,#N/A,1.6,1.47,Nasik
159,9,9,2018,#N/A,7.2,6.62,Pune
160,6,1,2018,#N/A,4.8,4.42,Chennai
161,7,3,2017,#N/A,5.6,5.15,Chandigarh
162,1,3,2019,#N/A,0.8,0.74,Mumbai
163,11,1,2018,#N/A,8.8,8.10,Nagpur
164,24,2,2019,#N/A,22.8,20.98,Chandigarh
165,20,6,2018,#N/A,19,17.48,Nagpur
166,10,11,2018,#N/A,9.5,8.74,Jaipur
167,4,4,2018,#N/A,3.2,2.94,Chandigarh
168,10,11,2017,#N/A,8,7.36,Mumbai
169,18,10,2018,#N/A,17.1,15.73,Ranchi
170,24,3,2017,#N/A,19.2,17.66,Nasik
171,4,8,2019,#N/A,3.2,2.94,Mumbai
172,11,11,2017,#N/A,8.8,8.10,Bengaluru
173,20,7,2017,#N/A,19,17.48,Chennai
174,9,2,2017,#N/A,7.2,6.62,Gandhinagar
175,12,1,2017,#N/A,9.6,8.83,Aurangabad
176,16,1,2018,#N/A,15.2,13.98,Gandhinagar
177,9,4,2017,#N/A,7.2,6.62,Mumbai
178,5,6,2018,#N/A,4,3.68,Aurangabad
179,8,12,2018,#N/A,6.4,5.89,Nagpur
180,4,1,2017,#N/A,3.8,3.50,Bengaluru
181,1,8,2018,#N/A,0.8,0.74,Chennai
182,1,9,2018,#N/A,0.8,0.74,Srinagar
183,14,6,2018,#N/A,11.2,10.30,Nagpur
184,10,1,2018,#N/A,8,7.36,Chennai
185,10,7,2019,#N/A,8,7.36,Nasik
186,2,9,2017,#N/A,1.6,1.47,Gandhinagar
187,8,3,2017,#N/A,6.4,5.89,Gandhinagar
188,4,6,2018,#N/A,3.8,3.50,Shillong
189,7,8,2019,#N/A,5.6,5.15,Chennai
190,20,3,2017,#N/A,19,17.48,Pune
191,20,10,2017,#N/A,19,17.48,Delhi
192,8,8,2019,#N/A,6.4,5.89,Shillong
193,10,6,2019,#N/A,8,7.36,Delhi
194,5,3,2018,#N/A,4,3.68,Chennai
195,2,9,2017,#N/A,1.6,1.47,Jaipur
196,12,4,2017,#N/A,9.6,8.83,Chennai
197,6,1,2018,#N/A,4.8,4.42,Nagpur
198,6,5,2018,#N/A,4.8,4.42,Aurangabad
199,4,2,2017,#N/A,3.2,2.94,Chandigarh
200,10,8,2019,#N/A,9.5,8.74,Nasik
201,2,4,2019,#N/A,1.9,1.75,Aurangabad
202,16,10,2017,#N/A,15.2,13.98,Chandigarh
203,4,10,2019,#N/A,3.8,3.50,Chandigarh
204,1,10,2017,#N/A,0.8,0.74,Pune
205,3,4,2017,#N/A,2.4,2.21,Mumbai
206,6,4,2019,#N/A,5.7,5.24,Pune
207,2,10,2019,#N/A,1.6,1.47,Ranchi
208,5,6,2018,#N/A,4,3.68,Nagpur
209,2,2,2018,#N/A,1.6,1.47,Aurangabad
210,24,2,2017,#N/A,22.8,20.98,Shillong
211,2,8,2017,#N/A,1.6,1.47,Delhi
212,10,9,2019,#N/A,9.5,8.74,Mumbai
213,4,1,2019,#N/A,3.2,2.94,Bhopal
214,5,3,2017,#N/A,4,3.68,Chandigarh
215,2,7,2019,#N/A,1.6,1.47,Bhopal
216,12,4,2018,#N/A,9.6,8.83,Chandigarh
217,24,12,2019,#N/A,22.8,20.98,Mumbai
218,18,11,2019,#N/A,17.1,15.73,Pune
219,2,4,2017,#N/A,1.9,1.75,Bengaluru
220,9,8,2017,#N/A,7.2,6.62,Srinagar
221,8,7,2018,#N/A,7.6,6.99,Aurangabad
222,5,3,2019,#N/A,4,3.68,Nagpur
223,2,2,2019,#N/A,1.9,1.75,Nagpur
224,6,5,2017,#N/A,5.7,5.24,Delhi
225,2,7,2019,#N/A,1.9,1.75,Chennai
226,20,9,2017,#N/A,19,17.48,Bengaluru
227,4,4,2017,#N/A,3.8,3.50,Gandhinagar
228,24,3,2017,#N/A,22.8,20.98,Mumbai
229,24,2,2019,#N/A,19.2,17.66,Jaipur
230,8,5,2017,#N/A,6.4,5.89,Shillong
231,10,3,2019,#N/A,8,7.36,Chennai
232,4,7,2019,#N/A,3.8,3.50,Gandhinagar
233,2,10,2019,#N/A,1.6,1.47,Aurangabad
234,3,1,2019,#N/A,2.4,2.21,Delhi
235,4,3,2017,#N/A,3.8,3.50,Bhopal
236,24,2,2019,#N/A,22.8,20.98,Srinagar
237,5,5,2018,#N/A,4,3.68,Chandigarh
238,6,11,2017,#N/A,5.7,5.24,Nagpur
239,2,12,2017,#N/A,1.6,1.47,Aurangabad
240,16,2,2018,#N/A,15.2,13.98,Pune
241,2,1,2018,#N/A,1.6,1.47,Aurangabad
242,18,5,2019,#N/A,14.4,13.25,Delhi
243,10,5,2017,#N/A,9.5,8.74,Shillong
244,11,11,2019,#N/A,8.8,8.10,Mumbai
245,12,7,2017,#N/A,9.6,8.83,Mumbai
246,5,4,2018,#N/A,4,3.68,Shillong
247,5,7,2018,#N/A,4,3.68,Mumbai
248,22,4,2019,#N/A,17.6,16.19,Shillong
249,4,4,2017,#N/A,3.8,3.50,Shillong
250,16,2,2018,#N/A,12.8,11.78,Mumbai
251,10,8,2017,#N/A,8,7.36,Shillong
252,18,6,2017,#N/A,17.1,15.73,Aurangabad
253,14,7,2017,#N/A,13.3,12.24,Gandhinagar
254,1,5,2017,#N/A,0.8,0.74,Bhopal
255,5,9,2017,#N/A,4,3.68,Nasik
256,10,3,2017,#N/A,8,7.36,Nagpur
257,9,5,2018,#N/A,7.2,6.62,Delhi
258,1,1,2019,#N/A,0.8,0.74,Aurangabad
259,2,7,2017,#N/A,1.6,1.47,Bengaluru
260,4,7,2018,#N/A,3.2,2.94,Shillong
261,6,1,2017,#N/A,4.8,4.42,Mumbai
262,2,9,2017,#N/A,1.9,1.75,Gandhinagar
263,6,5,2017,#N/A,5.7,5.24,Pune
264,3,4,2017,#N/A,2.4,2.21,Jaipur
265,9,8,2017,#N/A,7.2,6.62,Bengaluru
266,6,3,2017,#N/A,4.8,4.42,Nasik
267,2,5,2017,#N/A,1.6,1.47,Delhi
268,5,2,2019,#N/A,4,3.68,Ranchi
269,6,11,2017,#N/A,5.7,5.24,Nasik
270,2,1,2017,#N/A,1.6,1.47,Gandhinagar
271,24,8,2019,#N/A,19.2,17.66,Jaipur
272,7,7,2018,#N/A,5.6,5.15,Chennai
273,8,2,2017,#N/A,7.6,6.99,Bengaluru
274,9,3,2019,#N/A,7.2,6.62,Nagpur
275,11,8,2019,#N/A,8.8,8.10,Aurangabad
276,2,9,2019,#N/A,1.9,1.75,Delhi
277,8,7,2019,#N/A,7.6,6.99,Nagpur
278,4,3,2019,#N/A,3.8,3.50,Shillong
279,5,2,2018,#N/A,4,3.68,Jaipur
280,22,2,2018,#N/A,20.9,19.23,Bengaluru
281,24,8,2019,#N/A,22.8,20.98,Jaipur
282,6,9,2019,#N/A,4.8,4.42,Srinagar
283,2,4,2017,#N/A,1.9,1.75,Shillong
284,12,12,2019,#N/A,9.6,8.83,Bhopal
285,24,12,2017,#N/A,22.8,20.98,Bengaluru
286,10,5,2018,#N/A,8,7.36,Pune
287,4,1,2018,#N/A,3.2,2.94,Shillong
288,2,8,2018,#N/A,1.6,1.47,Chandigarh
289,18,4,2017,#N/A,14.4,13.25,Srinagar
290,14,12,2017,#N/A,11.2,10.30,Aurangabad
291,4,10,2018,#N/A,3.2,2.94,Delhi
292,16,3,2019,#N/A,15.2,13.98,Delhi
293,8,10,2019,#N/A,7.6,6.99,Srinagar
294,6,5,2017,#N/A,4.8,4.42,Bengaluru
295,11,5,2018,#N/A,8.8,8.10,Nasik
296,5,11,2018,#N/A,4,3.68,Aurangabad
297,20,9,2019,#N/A,19,17.48,Shillong
298,18,2,2017,#N/A,17.1,15.73,Gandhinagar
299,16,3,2017,#N/A,15.2,13.98,Aurangabad
300,2,8,2019,#N/A,1.9,1.75,Ranchi
301,5,3,2018,#N/A,4,3.68,Nasik
302,11,4,2017,#N/A,8.8,8.10,Pune
303,10,5,2018,#N/A,8,7.36,Shillong
304,18,12,2019,#N/A,17.1,15.73,Mumbai
305,6,10,2019,#N/A,5.7,5.24,Bengaluru
306,8,10,2017,#N/A,6.4,5.89,Chennai
307,22,4,2017,#N/A,20.9,19.23,Pune
308,18,4,2018,#N/A,17.1,15.73,Nasik
309,7,9,2019,#N/A,5.6,5.15,Shillong
310,12,9,2018,#N/A,9.6,8.83,Pune
311,10,9,2017,#N/A,8,7.36,Bhopal
312,11,8,2017,#N/A,8.8,8.10,Mumbai
313,10,11,2019,#N/A,8,7.36,Delhi
314,6,4,2019,#N/A,4.8,4.42,Jaipur
315,7,4,2018,#N/A,5.6,5.15,Ranchi
316,12,10,2019,#N/A,9.6,8.83,Jaipur
317,12,3,2018,#N/A,11.4,10.49,Aurangabad
318,20,3,2017,#N/A,19,17.48,Mumbai
319,8,8,2019,#N/A,7.6,6.99,Pune
320,2,11,2018,#N/A,1.6,1.47,Pune
321,9,10,2019,#N/A,7.2,6.62,Jaipur
322,8,5,2019,#N/A,6.4,5.89,Aurangabad
323,6,12,2019,#N/A,5.7,5.24,Shillong
324,12,9,2018,#N/A,9.6,8.83,Nasik
325,18,6,2019,#N/A,17.1,15.73,Jaipur
326,4,11,2017,#N/A,3.2,2.94,Gandhinagar
327,6,11,2018,#N/A,5.7,5.24,Chennai
328,7,12,2017,#N/A,5.6,5.15,Pune
329,1,4,2019,#N/A,0.8,0.74,Nasik
330,5,9,2019,#N/A,4,3.68,Ranchi
331,14,12,2018,#N/A,13.3,12.24,Nagpur
332,3,7,2018,#N/A,2.4,2.21,Shillong
333,12,8,2019,#N/A,9.6,8.83,Chandigarh
334,6,12,2018,#N/A,5.7,5.24,Delhi
335,9,9,2019,#N/A,7.2,6.62,Ranchi
336,4,4,2018,#N/A,3.2,2.94,Delhi
337,11,3,2018,#N/A,8.8,8.10,Ranchi
338,7,2,2019,#N/A,5.6,5.15,Chandigarh
339,5,8,2017,#N/A,4,3.68,Nagpur
340,4,1,2018,#N/A,3.2,2.94,Delhi
341,2,3,2019,#N/A,1.6,1.47,Bengaluru
342,12,5,2017,#N/A,9.6,8.83,Chennai
343,10,7,2018,#N/A,9.5,8.74,Bhopal
344,6,2,2017,#N/A,5.7,5.24,Nasik
345,9,11,2017,#N/A,7.2,6.62,Pune
346,9,4,2018,#N/A,7.2,6.62,Shillong
347,1,4,2019,#N/A,0.8,0.74,Mumbai
348,12,2,2017,#N/A,11.4,10.49,Delhi
349,9,1,2019,#N/A,7.2,6.62,Nagpur
350,24,9,2017,#N/A,22.8,20.98,Ranchi
351,18,1,2019,#N/A,14.4,13.25,Bengaluru
352,22,9,2018,#N/A,20.9,19.23,Srinagar
353,20,9,2019,#N/A,19,17.48,Jaipur
354,2,5,2017,#N/A,1.6,1.47,Nasik
355,8,1,2017,#N/A,6.4,5.89,Nagpur
356,6,7,2019,#N/A,4.8,4.42,Ranchi
357,20,11,2019,#N/A,16,14.72,Shillong
358,6,2,2018,#N/A,4.8,4.42,Pune
359,9,1,2017,#N/A,7.2,6.62,Nasik
360,2,7,2018,#N/A,1.6,1.47,Aurangabad
361,2,10,2019,#N/A,1.6,1.47,Ranchi
362,6,5,2019,#N/A,4.8,4.42,Ranchi
363,7,6,2018,#N/A,5.6,5.15,Mumbai
364,2,3,2019,#N/A,1.6,1.47,Delhi
365,8,9,2019,#N/A,6.4,5.89,Gandhinagar
366,12,6,2019,#N/A,9.6,8.83,Mumbai
367,2,1,2017,#N/A,1.6,1.47,Gandhinagar
368,6,2,2017,#N/A,5.7,5.24,Gandhinagar
369,7,3,2019,#N/A,5.6,5.15,Gandhinagar
370,24,1,2017,#N/A,22.8,20.98,Nagpur
371,24,11,2019,#N/A,19.2,17.66,Bhopal
372,9,4,2018,#N/A,7.2,6.62,Aurangabad
373,12,1,2019,#N/A,11.4,10.49,Nagpur
374,6,1,2018,#N/A,4.8,4.42,Mumbai
375,16,1,2017,#N/A,15.2,13.98,Aurangabad
376,6,9,2018,#N/A,5.7,5.24,Mumbai
377,9,3,2019,#N/A,7.2,6.62,Srinagar
378,22,11,2017,#N/A,20.9,19.23,Nasik
379,10,7,2017,#N/A,8,7.36,Shillong
380,2,12,2019,#N/A,1.6,1.47,Mumbai
381,12,12,2018,#N/A,11.4,10.49,Jaipur
382,1,11,2018,#N/A,0.8,0.74,Bhopal
383,2,2,2019,#N/A,1.6,1.47,Delhi
384,8,5,2019,#N/A,6.4,5.89,Chennai
385,8,5,2018,#N/A,6.4,5.89,Gandhinagar
386,9,3,2019,#N/A,7.2,6.62,Bengaluru
387,3,7,2018,#N/A,2.4,2.21,Shillong
388,2,7,2019,#N/A,1.6,1.47,Bhopal
389,3,11,2017,#N/A,2.4,2.21,Nagpur
390,9,5,2018,#N/A,7.2,6.62,Delhi
391,20,6,2019,#N/A,19,17.48,Nagpur
392,4,3,2017,#N/A,3.2,2.94,Pune
393,24,2,2018,#N/A,22.8,20.98,Chennai
394,10,9,2019,#N/A,8,7.36,Nagpur
395,6,8,2017,#N/A,4.8,4.42,Mumbai
396,4,7,2017,#N/A,3.2,2.94,Delhi
397,2,12,2017,#N/A,1.6,1.47,Delhi
398,9,6,2018,#N/A,7.2,6.62,Bengaluru
399,6,3,2017,#N/A,4.8,4.42,Chandigarh
400,8,6,2019,#N/A,6.4,5.89,Shillong
401,11,8,2019,#N/A,8.8,8.10,Jaipur
402,6,8,2017,#N/A,4.8,4.42,Delhi
403,5,2,2018,#N/A,4,3.68,Nasik
404,10,8,2017,#N/A,8,7.36,Bhopal
405,11,2,2018,#N/A,8.8,8.10,Aurangabad
406,6,3,2018,#N/A,4.8,4.42,Nasik
407,3,10,2019,#N/A,2.4,2.21,Pune
408,8,8,2018,#N/A,6.4,5.89,Pune
409,18,1,2018,#N/A,17.1,15.73,Gandhinagar
410,10,1,2018,#N/A,8,7.36,Pune
411,16,3,2017,#N/A,15.2,13.98,Chandigarh
412,9,8,2019,#N/A,7.2,6.62,Delhi
413,9,9,2019,#N/A,7.2,6.62,Mumbai
414,18,3,2017,#N/A,14.4,13.25,Ranchi
415,6,11,2018,#N/A,4.8,4.42,Mumbai
416,10,7,2019,#N/A,8,7.36,Ranchi
417,1,1,2017,#N/A,0.8,0.74,Gandhinagar
418,1,11,2019,#N/A,0.8,0.74,Delhi
419,16,2,2019,#N/A,15.2,13.98,Pune
420,12,4,2019,#N/A,11.4,10.49,Bengaluru
421,8,11,2018,#N/A,6.4,5.89,Mumbai
422,10,10,2019,#N/A,8,7.36,Nagpur
423,12,4,2019,#N/A,9.6,8.83,Aurangabad
424,12,7,2019,#N/A,9.6,8.83,Ranchi
425,1,7,2017,#N/A,0.8,0.74,Chennai
426,6,1,2017,#N/A,4.8,4.42,Srinagar
427,20,12,2019,#N/A,16,14.72,Jaipur
428,7,2,2019,#N/A,5.6,5.15,Shillong
429,24,8,2019,#N/A,19.2,17.66,Pune
430,5,9,2019,#N/A,4,3.68,Jaipur
431,16,8,2017,#N/A,12.8,11.78,Gandhinagar
432,14,6,2017,#N/A,13.3,12.24,Jaipur
433,16,12,2018,#N/A,15.2,13.98,Srinagar
434,24,11,2018,#N/A,22.8,20.98,Pune
435,4,4,2017,#N/A,3.2,2.94,Chennai
436,7,10,2018,#N/A,5.6,5.15,Nagpur
437,20,5,2018,#N/A,19,17.48,Pune
438,10,4,2017,#N/A,8,7.36,Shillong
439,2,7,2018,#N/A,1.9,1.75,Pune
440,12,11,2019,#N/A,9.6,8.83,Jaipur
441,7,8,2019,#N/A,5.6,5.15,Ranchi
442,12,4,2017,#N/A,9.6,8.83,Nasik
443,9,6,2019,#N/A,7.2,6.62,Shillong
444,12,10,2017,#N/A,9.6,8.83,Aurangabad
445,20,11,2017,#N/A,19,17.48,Bengaluru
446,12,12,2017,#N/A,9.6,8.83,Gandhinagar
447,6,12,2018,#N/A,4.8,4.42,Bhopal
448,7,5,2018,#N/A,5.6,5.15,Nasik
449,3,7,2019,#N/A,2.4,2.21,Chandigarh
450,7,1,2019,#N/A,5.6,5.15,Nagpur
451,22,9,2019,#N/A,20.9,19.23,Mumbai
452,1,10,2017,#N/A,0.8,0.74,Srinagar
453,18,7,2018,#N/A,17.1,15.73,Srinagar
454,7,1,2017,#N/A,5.6,5.15,Bengaluru
455,9,6,2017,#N/A,7.2,6.62,Bhopal
456,16,10,2017,#N/A,15.2,13.98,Chandigarh
457,4,4,2018,#N/A,3.2,2.94,Mumbai
458,24,9,2019,#N/A,22.8,20.98,Ranchi
459,12,11,2017,#N/A,11.4,10.49,Aurangabad
460,2,12,2017,#N/A,1.9,1.75,Chennai
461,8,5,2018,#N/A,6.4,5.89,Aurangabad
462,1,12,2017,#N/A,0.8,0.74,Gandhinagar
463,4,6,2017,#N/A,3.2,2.94,Ranchi
464,12,6,2019,#N/A,9.6,8.83,Shillong
465,6,7,2018,#N/A,4.8,4.42,Pune
466,18,9,2017,#N/A,14.4,13.25,Shillong
467,8,12,2017,#N/A,7.6,6.99,Bengaluru
468,12,3,2017,#N/A,9.6,8.83,Chandigarh
469,20,4,2019,#N/A,16,14.72,Bhopal
470,14,4,2019,#N/A,11.2,10.30,Delhi
471,3,5,2017,#N/A,2.4,2.21,Gandhinagar
472,3,3,2018,#N/A,2.4,2.21,Nasik
473,16,10,2018,#N/A,15.2,13.98,Gandhinagar
474,8,2,2017,#N/A,7.6,6.99,Chandigarh
475,8,7,2018,#N/A,6.4,5.89,Chennai
476,16,7,2018,#N/A,12.8,11.78,Nagpur
477,24,8,2018,#N/A,19.2,17.66,Srinagar
478,2,12,2017,#N/A,1.6,1.47,Chandigarh
479,20,10,2018,#N/A,19,17.48,Bhopal
480,16,3,2019,#N/A,15.2,13.98,Bengaluru
481,2,4,2019,#N/A,1.6,1.47,Gandhinagar
482,8,7,2017,#N/A,6.4,5.89,Srinagar
483,10,10,2017,#N/A,8,7.36,Jaipur
484,11,8,2019,#N/A,8.8,8.10,Jaipur
485,14,9,2018,#N/A,13.3,12.24,Delhi
486,16,9,2018,#N/A,15.2,13.98,Srinagar
487,3,8,2017,#N/A,2.4,2.21,Bhopal
488,10,2,2019,#N/A,8,7.36,Nasik
489,2,2,2019,#N/A,1.6,1.47,Bengaluru
490,20,6,2019,#N/A,19,17.48,Gandhinagar
491,14,9,2017,#N/A,13.3,12.24,Bhopal
492,24,7,2019,#N/A,22.8,20.98,Aurangabad
493,18,12,2018,#N/A,17.1,15.73,Nagpur
494,4,2,2019,#N/A,3.2,2.94,Aurangabad
495,18,5,2018,#N/A,17.1,15.73,Shillong
496,1,12,2019,#N/A,0.8,0.74,Chandigarh
497,20,12,2018,#N/A,19,17.48,Aurangabad
498,24,8,2019,#N/A,22.8,20.98,Chandigarh
499,2,8,2017,#N/A,1.6,1.47,Nasik
500,2,12,2017,#N/A,1.6,1.47,Bhopal
501,4,4,2018,#N/A,3.2,2.94,Gandhinagar
