Customer Number,Applied Loan Amount in Lacs,Month,Fin Year,Month Year,Channel Id,Product Id,Gender,Occupation,Age,Salary,Branch Code
78,1,1,2018,#N/A,2,4,Third Gender,Salaried,56-63,15 LPA - 25 LPA,12
79,1,1,2018,#N/A,4,1,Third Gender,Salaried,44-55,5 LPA - 7 LPA,12
80,3,3,2017,#N/A,4,2,Third Gender,Salaried,63+,5 LPA - 7 LPA,9
81,8,5,2019,#N/A,1,2,Male,Salaried,26-32,15 LPA - 25 LPA,4
82,18,8,2018,#N/A,1,3,Female,Salaried,33-43,25+,5
83,22,3,2019,#N/A,2,1,Male,Salaried,26-32,3 LPA - 5 LPA,9
84,20,9,2019,#N/A,4,4,Female,Salaried,33-43,7 LPA - 9 LPA,4
85,18,5,2018,#N/A,3,3,Female,Salaried,26-32,25+,10
86,10,3,2017,#N/A,1,1,Female,Salaried,56-63,7 LPA - 9 LPA,11
87,18,3,2018,#N/A,3,1,Third Gender,Salaried,26-32,3 LPA - 5 LPA,4
88,2,1,2018,#N/A,1,3,Female,Salaried,56-63,9 LPA - 15 LPA,5
89,9,11,2019,#N/A,1,1,Third Gender,Salaried,44-55,5 LPA - 7 LPA,15
90,4,5,2017,#N/A,3,2,Female,Salaried,26-32,5 LPA - 7 LPA,8
91,8,11,2018,#N/A,1,4,Third Gender,Salaried,56-63,15 LPA - 25 LPA,2
92,2,8,2019,#N/A,2,3,Third Gender,Salaried,33-43,15 LPA - 25 LPA,5
93,10,8,2018,#N/A,2,1,Male,Salaried,26-32,3 LPA - 5 LPA,14
94,14,1,2019,#N/A,2,3,Female,Salaried,26-32,7 LPA - 9 LPA,4
95,12,5,2018,#N/A,2,2,Female,Salaried,56-63,3 LPA - 5 LPA,9
96,4,3,2018,#N/A,2,2,Female,Salaried,63+,5 LPA - 7 LPA,1
97,5,2,2017,#N/A,4,3,Third Gender,Salaried,63+,3 LPA - 5 LPA,9
98,18,7,2017,#N/A,1,2,Male,Salaried,26-32,7 LPA - 9 LPA,7
99,6,10,2019,#N/A,1,1,Female,Salaried,63+,7 LPA - 9 LPA,9
100,9,4,2017,#N/A,1,4,Third Gender,Salaried,63+,15 LPA - 25 LPA,5
101,2,12,2017,#N/A,3,4,Male,Salaried,26-32,7 LPA - 9 LPA,6
102,8,2,2017,#N/A,3,4,Male,Salaried,63+,7 LPA - 9 LPA,8
103,8,9,2018,#N/A,2,2,Third Gender,Salaried,63+,3 LPA - 5 LPA,9
104,5,11,2017,#N/A,1,2,Third Gender,Salaried,44-55,9 LPA - 15 LPA,13
105,10,9,2017,#N/A,3,4,Third Gender,Salaried,26-32,9 LPA - 15 LPA,3
106,8,11,2018,#N/A,3,1,Female,Salaried,44-55,9 LPA - 15 LPA,5
107,9,5,2019,#N/A,3,4,Male,Salaried,63+,15 LPA - 25 LPA,4
108,10,3,2018,#N/A,1,1,Female,Salaried,63+,15 LPA - 25 LPA,12
109,10,4,2018,#N/A,2,3,Male,Salaried,33-43,3 LPA - 5 LPA,6
110,4,1,2019,#N/A,2,4,Third Gender,Salaried,33-43,7 LPA - 9 LPA,8
111,2,7,2018,#N/A,1,1,Third Gender,Salaried,56-63,25+,2
112,12,7,2018,#N/A,2,2,Male,Salaried,26-32,9 LPA - 15 LPA,5
113,22,3,2019,#N/A,3,3,Female,Salaried,33-43,15 LPA - 25 LPA,15
114,12,10,2017,#N/A,1,2,Female,Salaried,33-43,3 LPA - 5 LPA,15
115,5,7,2017,#N/A,2,1,Male,Salaried,44-55,25+,2
116,11,2,2019,#N/A,3,4,Third Gender,Salaried,44-55,9 LPA - 15 LPA,14
117,14,2,2017,#N/A,1,1,Third Gender,Salaried,26-32,25+,1
118,12,7,2018,#N/A,2,4,Female,Salaried,63+,7 LPA - 9 LPA,2
119,10,9,2019,#N/A,4,2,Male,Salaried,33-43,5 LPA - 7 LPA,1
120,5,12,2019,#N/A,1,4,Male,Salaried,56-63,3 LPA - 5 LPA,12
121,4,3,2017,#N/A,3,3,Female,Salaried,26-32,25+,15
122,5,7,2018,#N/A,2,2,Female,Salaried,56-63,7 LPA - 9 LPA,14
123,18,8,2018,#N/A,1,1,Third Gender,Salaried,33-43,9 LPA - 15 LPA,1
124,18,12,2017,#N/A,2,4,Male,Salaried,26-32,25+,9
125,14,7,2017,#N/A,3,1,Third Gender,Salaried,26-32,15 LPA - 25 LPA,1
126,12,2,2019,#N/A,2,3,Female,Salaried,44-55,3 LPA - 5 LPA,5
127,1,9,2017,#N/A,2,4,Male,Salaried,63+,15 LPA - 25 LPA,9
128,22,8,2018,#N/A,1,1,Third Gender,Salaried,26-32,5 LPA - 7 LPA,4
129,8,9,2017,#N/A,3,3,Male,Salaried,33-43,15 LPA - 25 LPA,7
130,6,4,2019,#N/A,3,2,Female,Salaried,26-32,7 LPA - 9 LPA,15
131,14,2,2019,#N/A,2,2,Female,Salaried,33-43,25+,6
132,8,2,2018,#N/A,1,1,Male,Salaried,44-55,3 LPA - 5 LPA,11
133,1,4,2018,#N/A,3,4,Female,Salaried,56-63,15 LPA - 25 LPA,12
134,1,3,2017,#N/A,2,3,Female,Salaried,63+,5 LPA - 7 LPA,5
135,4,2,2018,#N/A,3,3,Male,Salaried,63+,15 LPA - 25 LPA,3
136,10,1,2017,#N/A,3,4,Third Gender,Salaried,26-32,5 LPA - 7 LPA,2
137,2,8,2018,#N/A,3,3,Male,Salaried,56-63,9 LPA - 15 LPA,10
138,5,4,2018,#N/A,1,3,Female,Salaried,56-63,7 LPA - 9 LPA,2
139,18,9,2019,#N/A,4,4,Male,Salaried,33-43,3 LPA - 5 LPA,1
140,18,12,2017,#N/A,2,4,Female,Salaried,26-32,25+,4
141,22,4,2017,#N/A,2,4,Male,Salaried,33-43,15 LPA - 25 LPA,7
142,2,7,2018,#N/A,3,3,Third Gender,Salaried,26-32,5 LPA - 7 LPA,12
143,1,2,2017,#N/A,3,2,Male,Salaried,63+,15 LPA - 25 LPA,1
144,4,7,2018,#N/A,4,3,Third Gender,Salaried,44-55,25+,10
145,8,1,2019,#N/A,2,1,Male,Salaried,26-32,3 LPA - 5 LPA,9
146,16,12,2017,#N/A,1,4,Female,Salaried,33-43,15 LPA - 25 LPA,8
147,8,8,2018,#N/A,3,3,Male,Salaried,33-43,25+,5
148,2,11,2017,#N/A,1,4,Male,Salaried,56-63,3 LPA - 5 LPA,12
149,12,1,2018,#N/A,3,4,Female,Salaried,33-43,25+,9
150,16,5,2019,#N/A,2,1,Female,Salaried,33-43,25+,6
151,12,7,2019,#N/A,3,1,Third Gender,Salaried,44-55,7 LPA - 9 LPA,9
152,22,2,2018,#N/A,1,4,Third Gender,Salaried,26-32,7 LPA - 9 LPA,6
153,6,3,2017,#N/A,4,3,Third Gender,Salaried,33-43,5 LPA - 7 LPA,6
154,22,4,2019,#N/A,1,2,Female,Salaried,33-43,3 LPA - 5 LPA,11
155,10,10,2019,#N/A,2,2,Third Gender,Salaried,56-63,25+,1
156,5,2,2017,#N/A,2,3,Third Gender,Salaried,44-55,5 LPA - 7 LPA,10
157,4,2,2017,#N/A,1,4,Third Gender,Salaried,44-55,15 LPA - 25 LPA,1
158,2,1,2019,#N/A,3,4,Third Gender,Salaried,33-43,15 LPA - 25 LPA,3
159,9,9,2018,#N/A,4,1,Third Gender,Salaried,63+,7 LPA - 9 LPA,2
160,6,1,2018,#N/A,2,1,Male,Salaried,33-43,5 LPA - 7 LPA,7
161,7,3,2017,#N/A,3,3,Female,Salaried,44-55,3 LPA - 5 LPA,11
162,1,3,2019,#N/A,4,1,Male,Salaried,56-63,9 LPA - 15 LPA,1
163,11,1,2018,#N/A,4,1,Female,Salaried,63+,15 LPA - 25 LPA,10
164,24,2,2019,#N/A,1,3,Female,Salaried,26-32,3 LPA - 5 LPA,11
165,20,7,2018,#N/A,3,1,Female,Salaried,26-32,9 LPA - 15 LPA,10
166,10,11,2018,#N/A,2,3,Third Gender,Salaried,26-32,5 LPA - 7 LPA,8
167,4,4,2018,#N/A,3,4,Male,Salaried,56-63,7 LPA - 9 LPA,11
168,10,11,2017,#N/A,2,2,Female,Salaried,44-55,7 LPA - 9 LPA,1
169,18,10,2018,#N/A,1,3,Male,Salaried,26-32,9 LPA - 15 LPA,15
170,24,3,2017,#N/A,2,2,Third Gender,Salaried,33-43,3 LPA - 5 LPA,3
171,4,8,2019,#N/A,1,3,Female,Salaried,33-43,15 LPA - 25 LPA,1
172,11,11,2017,#N/A,2,3,Male,Salaried,56-63,25+,5
173,20,7,2017,#N/A,3,1,Third Gender,Salaried,26-32,5 LPA - 7 LPA,7
174,9,2,2017,#N/A,3,1,Third Gender,Salaried,56-63,25+,14
175,12,1,2017,#N/A,3,4,Female,Salaried,56-63,9 LPA - 15 LPA,9
176,16,1,2018,#N/A,1,2,Female,Salaried,26-32,15 LPA - 25 LPA,14
177,9,4,2017,#N/A,2,3,Third Gender,Salaried,63+,9 LPA - 15 LPA,1
178,5,7,2018,#N/A,4,2,Third Gender,Salaried,56-63,25+,9
179,8,12,2018,#N/A,2,3,Female,Salaried,56-63,3 LPA - 5 LPA,10
180,4,1,2017,#N/A,3,3,Third Gender,Salaried,26-32,15 LPA - 25 LPA,5
181,1,8,2018,#N/A,2,4,Female,Salaried,63+,7 LPA - 9 LPA,7
182,1,9,2018,#N/A,2,1,Third Gender,Salaried,63+,3 LPA - 5 LPA,12
183,14,7,2018,#N/A,1,4,Male,Salaried,33-43,7 LPA - 9 LPA,10
184,10,1,2018,#N/A,4,4,Female,Salaried,33-43,15 LPA - 25 LPA,7
185,10,7,2019,#N/A,2,1,Third Gender,Salaried,63+,5 LPA - 7 LPA,3
186,2,9,2017,#N/A,3,2,Female,Salaried,33-43,3 LPA - 5 LPA,14
187,8,3,2017,#N/A,3,3,Third Gender,Salaried,33-43,25+,14
188,4,7,2018,#N/A,2,1,Female,Salaried,26-32,5 LPA - 7 LPA,13
189,7,8,2019,#N/A,3,3,Third Gender,Salaried,63+,15 LPA - 25 LPA,7
190,20,3,2017,#N/A,2,4,Male,Salaried,26-32,15 LPA - 25 LPA,2
191,20,10,2017,#N/A,3,1,Male,Salaried,26-32,7 LPA - 9 LPA,4
192,8,8,2019,#N/A,4,2,Third Gender,Salaried,33-43,7 LPA - 9 LPA,13
193,10,7,2019,#N/A,2,2,Female,Salaried,63+,7 LPA - 9 LPA,4
194,5,3,2018,#N/A,1,3,Female,Salaried,56-63,15 LPA - 25 LPA,7
195,2,9,2017,#N/A,2,4,Male,Salaried,33-43,5 LPA - 7 LPA,8
196,12,4,2017,#N/A,4,1,Male,Salaried,56-63,15 LPA - 25 LPA,7
197,6,1,2018,#N/A,4,1,Third Gender,Salaried,33-43,3 LPA - 5 LPA,10
198,6,5,2018,#N/A,2,1,Third Gender,Salaried,56-63,5 LPA - 7 LPA,9
199,4,2,2017,#N/A,1,1,Male,Salaried,56-63,5 LPA - 7 LPA,11
200,10,8,2019,#N/A,2,2,Male,Salaried,26-32,9 LPA - 15 LPA,3
201,2,4,2019,#N/A,1,4,Male,Salaried,26-32,3 LPA - 5 LPA,9
202,16,10,2017,#N/A,3,3,Female,Salaried,26-32,25+,11
203,4,10,2019,#N/A,2,2,Female,Salaried,26-32,25+,11
204,1,10,2017,#N/A,2,1,Female,Salaried,56-63,25+,2
205,3,4,2017,#N/A,4,4,Male,Salaried,63+,5 LPA - 7 LPA,1
206,6,4,2019,#N/A,2,4,Male,Salaried,26-32,3 LPA - 5 LPA,2
207,2,10,2019,#N/A,4,1,Female,Salaried,63+,9 LPA - 15 LPA,15
208,5,7,2018,#N/A,2,2,Female,Salaried,56-63,5 LPA - 7 LPA,10
209,2,2,2018,#N/A,3,1,Male,Salaried,33-43,25+,9
210,24,2,2017,#N/A,2,2,Third Gender,Salaried,26-32,25+,13
211,2,8,2017,#N/A,1,3,Female,Salaried,33-43,25+,4
212,10,9,2019,#N/A,1,3,Male,Salaried,26-32,15 LPA - 25 LPA,1
213,4,1,2019,#N/A,3,3,Male,Salaried,56-63,5 LPA - 7 LPA,6
214,5,3,2017,#N/A,1,3,Female,Salaried,44-55,15 LPA - 25 LPA,11
215,2,7,2019,#N/A,4,4,Female,Salaried,33-43,7 LPA - 9 LPA,6
216,12,4,2018,#N/A,2,1,Female,Salaried,56-63,15 LPA - 25 LPA,11
217,24,12,2019,#N/A,1,1,Male,Salaried,26-32,15 LPA - 25 LPA,1
218,18,11,2019,#N/A,3,3,Female,Salaried,26-32,7 LPA - 9 LPA,2
219,2,4,2017,#N/A,2,2,Male,Salaried,26-32,9 LPA - 15 LPA,5
220,9,8,2017,#N/A,1,4,Female,Salaried,56-63,25+,12
221,8,7,2018,#N/A,3,1,Male,Salaried,26-32,25+,9
222,5,3,2019,#N/A,3,1,Male,Salaried,63+,5 LPA - 7 LPA,10
223,2,2,2019,#N/A,2,4,Third Gender,Salaried,26-32,5 LPA - 7 LPA,10
224,6,5,2017,#N/A,1,1,Female,Salaried,26-32,7 LPA - 9 LPA,4
225,2,7,2019,#N/A,2,3,Male,Salaried,26-32,5 LPA - 7 LPA,7
226,20,9,2017,#N/A,3,1,Third Gender,Salaried,26-32,15 LPA - 25 LPA,5
227,4,4,2017,#N/A,2,2,Male,Salaried,26-32,25+,14
228,24,3,2017,#N/A,3,1,Male,Salaried,26-32,9 LPA - 15 LPA,1
229,24,2,2019,#N/A,1,1,Female,Salaried,33-43,7 LPA - 9 LPA,8
230,8,5,2017,#N/A,3,3,Male,Salaried,56-63,9 LPA - 15 LPA,13
231,10,3,2019,#N/A,2,3,Female,Salaried,44-55,9 LPA - 15 LPA,7
232,4,7,2019,#N/A,3,1,Third Gender,Salaried,26-32,3 LPA - 5 LPA,14
233,2,10,2019,#N/A,4,3,Male,Salaried,63+,15 LPA - 25 LPA,9
234,3,1,2019,#N/A,4,4,Third Gender,Salaried,63+,25+,4
235,4,3,2017,#N/A,3,2,Third Gender,Salaried,26-32,3 LPA - 5 LPA,6
236,24,2,2019,#N/A,1,1,Third Gender,Salaried,26-32,5 LPA - 7 LPA,12
237,5,5,2018,#N/A,4,3,Third Gender,Salaried,63+,25+,11
238,6,11,2017,#N/A,3,3,Female,Salaried,26-32,3 LPA - 5 LPA,10
239,2,12,2017,#N/A,2,4,Female,Salaried,44-55,25+,9
240,16,2,2018,#N/A,3,1,Third Gender,Salaried,26-32,3 LPA - 5 LPA,2
241,2,1,2018,#N/A,1,4,Third Gender,Salaried,56-63,3 LPA - 5 LPA,9
242,18,5,2019,#N/A,2,1,Female,Salaried,33-43,15 LPA - 25 LPA,4
243,10,5,2017,#N/A,2,1,Female,Salaried,26-32,3 LPA - 5 LPA,13
244,11,11,2019,#N/A,4,2,Female,Salaried,44-55,9 LPA - 15 LPA,1
245,12,7,2017,#N/A,2,2,Male,Salaried,33-43,7 LPA - 9 LPA,1
246,5,4,2018,#N/A,3,2,Third Gender,Salaried,56-63,25+,13
247,5,7,2018,#N/A,1,4,Third Gender,Salaried,56-63,3 LPA - 5 LPA,1
248,22,4,2019,#N/A,4,3,Male,Salaried,33-43,25+,13
249,4,4,2017,#N/A,3,2,Male,Salaried,26-32,5 LPA - 7 LPA,13
250,16,2,2018,#N/A,2,3,Third Gender,Salaried,33-43,25+,1
251,10,8,2017,#N/A,3,1,Third Gender,Salaried,56-63,5 LPA - 7 LPA,13
252,18,7,2017,#N/A,2,2,Female,Salaried,26-32,3 LPA - 5 LPA,9
253,14,7,2017,#N/A,3,2,Male,Salaried,26-32,9 LPA - 15 LPA,14
254,1,5,2017,#N/A,3,4,Male,Salaried,56-63,3 LPA - 5 LPA,6
255,5,9,2017,#N/A,4,1,Male,Salaried,44-55,15 LPA - 25 LPA,3
256,10,3,2017,#N/A,1,1,Male,Salaried,63+,5 LPA - 7 LPA,10
257,9,5,2018,#N/A,2,1,Third Gender,Salaried,56-63,7 LPA - 9 LPA,4
258,1,1,2019,#N/A,4,4,Male,Salaried,44-55,9 LPA - 15 LPA,9
259,2,7,2017,#N/A,3,4,Third Gender,Salaried,56-63,3 LPA - 5 LPA,5
260,4,7,2018,#N/A,4,3,Female,Salaried,33-43,7 LPA - 9 LPA,13
261,6,1,2017,#N/A,4,1,Third Gender,Salaried,56-63,5 LPA - 7 LPA,1
262,2,9,2017,#N/A,3,3,Female,Salaried,26-32,15 LPA - 25 LPA,14
263,6,5,2017,#N/A,1,1,Female,Salaried,26-32,5 LPA - 7 LPA,2
264,3,4,2017,#N/A,4,3,Female,Salaried,44-55,15 LPA - 25 LPA,8
265,9,8,2017,#N/A,3,2,Female,Salaried,63+,7 LPA - 9 LPA,5
266,6,3,2017,#N/A,4,1,Female,Salaried,44-55,7 LPA - 9 LPA,3
267,2,5,2017,#N/A,3,4,Female,Salaried,33-43,25+,4
268,5,2,2019,#N/A,1,2,Female,Salaried,63+,25+,15
269,6,11,2017,#N/A,3,3,Male,Salaried,26-32,7 LPA - 9 LPA,3
270,2,1,2017,#N/A,2,3,Third Gender,Salaried,63+,7 LPA - 9 LPA,14
271,24,8,2019,#N/A,4,1,Third Gender,Salaried,33-43,3 LPA - 5 LPA,8
272,7,7,2018,#N/A,3,4,Third Gender,Salaried,56-63,3 LPA - 5 LPA,7
273,8,2,2017,#N/A,3,1,Female,Salaried,26-32,3 LPA - 5 LPA,5
274,9,3,2019,#N/A,4,1,Female,Salaried,63+,3 LPA - 5 LPA,10
275,11,8,2019,#N/A,3,2,Third Gender,Salaried,63+,3 LPA - 5 LPA,9
276,2,9,2019,#N/A,1,3,Third Gender,Salaried,26-32,5 LPA - 7 LPA,4
277,8,7,2019,#N/A,1,3,Female,Salaried,26-32,15 LPA - 25 LPA,10
278,4,3,2019,#N/A,3,4,Male,Salaried,26-32,7 LPA - 9 LPA,13
279,5,2,2018,#N/A,1,2,Third Gender,Salaried,63+,25+,8
280,22,2,2018,#N/A,3,2,Male,Salaried,26-32,7 LPA - 9 LPA,5
281,24,8,2019,#N/A,3,1,Third Gender,Salaried,26-32,25+,8
282,6,9,2019,#N/A,1,1,Female,Salaried,56-63,25+,12
283,2,4,2017,#N/A,3,3,Female,Salaried,26-32,15 LPA - 25 LPA,13
284,12,12,2019,#N/A,2,2,Male,Salaried,56-63,25+,6
285,24,12,2017,#N/A,3,3,Third Gender,Salaried,26-32,25+,5
286,10,5,2018,#N/A,2,4,Female,Salaried,56-63,15 LPA - 25 LPA,2
287,4,1,2018,#N/A,3,1,Male,Salaried,56-63,3 LPA - 5 LPA,13
288,2,8,2018,#N/A,2,1,Third Gender,Salaried,44-55,15 LPA - 25 LPA,11
289,18,4,2017,#N/A,4,1,Male,Salaried,33-43,9 LPA - 15 LPA,12
290,14,12,2017,#N/A,2,4,Female,Salaried,33-43,5 LPA - 7 LPA,9
291,4,10,2018,#N/A,4,1,Female,Salaried,44-55,5 LPA - 7 LPA,4
292,16,3,2019,#N/A,1,3,Third Gender,Salaried,26-32,15 LPA - 25 LPA,4
293,8,10,2019,#N/A,3,2,Female,Salaried,26-32,7 LPA - 9 LPA,12
294,6,5,2017,#N/A,4,2,Female,Salaried,56-63,3 LPA - 5 LPA,5
295,11,5,2018,#N/A,1,4,Female,Salaried,63+,15 LPA - 25 LPA,3
296,5,11,2018,#N/A,2,1,Female,Salaried,44-55,15 LPA - 25 LPA,9
297,20,9,2019,#N/A,2,3,Male,Salaried,26-32,3 LPA - 5 LPA,13
298,18,2,2017,#N/A,3,4,Male,Salaried,26-32,25+,14
299,16,3,2017,#N/A,1,4,Male,Salaried,26-32,9 LPA - 15 LPA,9
300,2,8,2019,#N/A,2,1,Female,Salaried,26-32,7 LPA - 9 LPA,15
301,5,3,2018,#N/A,3,2,Male,Salaried,63+,7 LPA - 9 LPA,3
302,11,4,2017,#N/A,4,2,Male,Salaried,63+,5 LPA - 7 LPA,2
303,10,5,2018,#N/A,4,1,Male,Salaried,63+,5 LPA - 7 LPA,13
304,18,12,2019,#N/A,3,4,Third Gender,Salaried,26-32,5 LPA - 7 LPA,1
305,6,10,2019,#N/A,1,4,Male,Salaried,26-32,5 LPA - 7 LPA,5
306,8,10,2017,#N/A,3,3,Third Gender,Salaried,63+,15 LPA - 25 LPA,7
307,22,4,2017,#N/A,1,4,Female,Salaried,26-32,15 LPA - 25 LPA,2
308,18,4,2018,#N/A,1,4,Female,Salaried,26-32,15 LPA - 25 LPA,3
309,7,9,2019,#N/A,3,1,Male,Salaried,63+,7 LPA - 9 LPA,13
310,12,9,2018,#N/A,2,3,Male,Salaried,33-43,15 LPA - 25 LPA,2
311,10,9,2017,#N/A,3,1,Female,Salaried,44-55,3 LPA - 5 LPA,6
312,11,8,2017,#N/A,4,1,Third Gender,Salaried,63+,7 LPA - 9 LPA,1
313,10,11,2019,#N/A,3,4,Female,Salaried,63+,3 LPA - 5 LPA,4
314,6,4,2019,#N/A,1,3,Third Gender,Salaried,56-63,7 LPA - 9 LPA,8
