Customer Number,Month,Fin Year,Month Year,Delinquency Months,Recovery Amount,Recovery Branch
141,4,2017,4-2017,6 Month,2.94,Pune
142,6,2018,6-2018,30 Days,6.99,Ranchi
143,2,2017,2-2017,6 Month,4.71,Jaipur
144,6,2018,6-2018,90 Days,5.30,Aurangabad
146,12,2017,12-2017,12 Months,5.89,Pune
147,8,2018,8-2018,12 Months,5.89,Bengaluru
148,11,2017,11-2017,90 Days,2.36,Chandigarh
149,1,2018,1-2018,24 Months and more,1.18,Shillong
152,2,2018,2-2018,24 Months and more,8.39,Mumbai
153,3,2017,3-2017,12 Months,12.95,Nagpur
156,2,2017,2-2017,24 Months and more,7.07,Nasik
157,2,2017,2-2017,12 Months,2.94,Nagpur
159,9,2018,9-2018,6 Month,6.48,Bhopal
160,1,2018,1-2018,90 Days,9.79,Srinagar
161,3,2017,3-2017,60 Days,7.07,Shillong
163,1,2018,1-2018,6 Month,5.89,Srinagar
165,6,2018,6-2018,24 Months and more,2.94,Chandigarh
166,11,2018,11-2018,30 Days,2.80,Srinagar
167,4,2018,4-2018,6 Month,2.94,Nagpur
168,11,2017,11-2017,90 Days,10.60,Shillong
169,10,2018,10-2018,24 Months and more,12.59,Bhopal
170,3,2017,3-2017,24 Months and more,9.79,Shillong
172,11,2017,11-2017,12 Months,7.07,Nasik
173,7,2017,7-2017,6 Month,0.59,Pune
174,2,2017,2-2017,12 Months,15.38,Jaipur
175,1,2017,1-2017,90 Days,4.71,Chennai
176,1,2018,1-2018,60 Days,4.20,Nasik
177,4,2017,4-2017,6 Month,8.24,Chennai
178,6,2018,6-2018,60 Days,4.71,Pune
179,12,2018,12-2018,60 Days,0.59,Jaipur
180,1,2017,1-2017,30 Days,0.59,Delhi
181,8,2018,8-2018,6 Month,2.36,Pune
182,9,2018,9-2018,30 Days,6.99,Delhi
183,6,2018,6-2018,90 Days,1.18,Delhi
184,1,2018,1-2018,24 Months and more,2.94,Bengaluru
186,9,2017,9-2017,12 Months,10.60,Jaipur
187,3,2017,3-2017,30 Days,12.59,Chandigarh
188,6,2018,6-2018,60 Days,12.95,Mumbai
190,3,2017,3-2017,30 Days,1.40,Gandhinagar
191,10,2017,10-2017,12 Months,0.59,Jaipur
194,3,2018,3-2018,60 Days,2.36,Chennai
195,9,2017,9-2017,6 Month,5.59,Aurangabad
196,4,2017,4-2017,12 Months,9.42,Ranchi
197,1,2018,1-2018,90 Days,4.71,Chennai
198,5,2018,5-2018,24 Months and more,1.18,Jaipur
199,2,2017,2-2017,60 Days,7.07,Delhi
202,10,2017,10-2017,24 Months and more,9.42,Ranchi
204,10,2017,10-2017,60 Days,7.07,Chandigarh
205,4,2017,4-2017,60 Days,15.38,Chandigarh
208,6,2018,6-2018,24 Months and more,3.53,Nasik
209,2,2018,2-2018,60 Days,12.95,Pune
210,2,2017,2-2017,60 Days,5.89,Bhopal
211,8,2017,8-2017,30 Days,2.94,Aurangabad
214,3,2017,3-2017,6 Month,2.36,Shillong
216,4,2018,4-2018,24 Months and more,1.18,Srinagar
219,4,2017,4-2017,12 Months,5.30,Pune
220,8,2017,8-2017,6 Month,3.53,Bengaluru
221,7,2018,7-2018,90 Days,4.12,Bhopal
224,5,2017,5-2017,60 Days,0.59,Nagpur
226,9,2017,9-2017,60 Days,6.48,Bengaluru
227,4,2017,4-2017,90 Days,16.78,Nasik
228,3,2017,3-2017,6 Month,13.98,Mumbai
230,5,2017,5-2017,12 Months,6.99,Chennai
235,3,2017,3-2017,24 Months and more,2.36,Gandhinagar
237,5,2018,5-2018,30 Days,5.89,Jaipur
238,11,2017,11-2017,6 Month,12.59,Pune
239,12,2017,12-2017,6 Month,14.13,Delhi
240,2,2018,2-2018,12 Months,2.36,Delhi
241,1,2018,1-2018,60 Days,6.48,Srinagar
243,5,2017,5-2017,60 Days,13.98,Bengaluru
245,7,2017,7-2017,24 Months and more,5.30,Delhi
246,4,2018,4-2018,24 Months and more,7.07,Shillong
247,7,2018,7-2018,90 Days,11.19,Mumbai
249,4,2017,4-2017,24 Months and more,5.30,Srinagar
250,2,2018,2-2018,30 Days,2.94,Ranchi
251,8,2017,8-2017,12 Months,4.71,Ranchi
252,6,2017,6-2017,90 Days,2.80,Srinagar
253,7,2017,7-2017,60 Days,0.59,Ranchi
254,5,2017,5-2017,6 Month,0.59,Ranchi
255,9,2017,9-2017,30 Days,8.24,Shillong
256,3,2017,3-2017,12 Months,5.89,Chennai
257,5,2018,5-2018,60 Days,5.89,Pune
259,7,2017,7-2017,24 Months and more,1.18,Chennai
260,7,2018,7-2018,90 Days,4.71,Gandhinagar
261,1,2017,1-2017,90 Days,2.80,Nagpur
262,9,2017,9-2017,6 Month,4.12,Chandigarh
263,5,2017,5-2017,90 Days,13.98,Chandigarh
264,4,2017,4-2017,60 Days,13.98,Gandhinagar
265,8,2017,8-2017,30 Days,4.71,Jaipur
266,3,2017,3-2017,90 Days,5.89,Delhi
267,5,2017,5-2017,30 Days,2.94,Srinagar
269,11,2017,11-2017,60 Days,1.18,Srinagar
270,1,2017,1-2017,12 Months,7.07,Pune
272,7,2018,7-2018,12 Months,3.53,Srinagar
273,2,2017,2-2017,60 Days,3.53,Bhopal
279,2,2018,2-2018,6 Month,2.36,Mumbai
280,2,2018,2-2018,6 Month,6.99,Ranchi
283,4,2017,4-2017,24 Months and more,1.40,Jaipur
285,12,2017,12-2017,60 Days,11.19,Ranchi
286,5,2018,5-2018,6 Month,2.80,Gandhinagar
287,1,2018,1-2018,24 Months and more,0.59,Bhopal
288,8,2018,8-2018,6 Month,1.77,Nagpur
289,4,2017,4-2017,60 Days,4.20,Ranchi
290,12,2017,12-2017,60 Days,1.18,Jaipur
291,10,2018,10-2018,90 Days,2.94,Shillong
294,5,2017,5-2017,12 Months,1.18,Nagpur
295,5,2018,5-2018,6 Month,16.78,Srinagar
296,11,2018,11-2018,90 Days,1.18,Ranchi
298,2,2017,2-2017,60 Days,6.99,Delhi
299,3,2017,3-2017,6 Month,2.36,Chandigarh
301,3,2018,3-2018,24 Months and more,2.94,Pune
302,4,2017,4-2017,60 Days,1.18,Jaipur
303,5,2018,5-2018,60 Days,7.07,Chandigarh
306,10,2017,10-2017,12 Months,16.78,Chennai
307,4,2017,4-2017,90 Days,12.59,Bhopal
308,4,2018,4-2018,24 Months and more,1.40,Delhi
310,9,2018,9-2018,60 Days,5.30,Nagpur
311,9,2017,9-2017,24 Months and more,5.59,Mumbai
312,8,2017,8-2017,90 Days,2.94,Delhi
315,4,2018,4-2018,24 Months and more,1.40,Nasik
317,3,2018,3-2018,12 Months,4.20,Aurangabad
318,3,2017,3-2017,30 Days,1.40,Gandhinagar
320,11,2018,11-2018,12 Months,13.98,Chandigarh
324,9,2018,9-2018,30 Days,2.80,Chennai
326,11,2017,11-2017,60 Days,16.78,Shillong
327,11,2018,11-2018,12 Months,14.13,Delhi
328,12,2017,12-2017,6 Month,4.71,Nasik
331,12,2018,12-2018,6 Month,5.89,Srinagar
332,7,2018,7-2018,6 Month,2.80,Chennai
334,12,2018,12-2018,90 Days,1.18,Chandigarh
336,4,2018,4-2018,30 Days,1.77,Mumbai
337,3,2018,3-2018,24 Months and more,2.80,Delhi
339,8,2017,8-2017,12 Months,16.78,Pune
340,1,2018,1-2018,6 Month,2.94,Delhi
342,5,2017,5-2017,6 Month,4.20,Delhi
343,7,2018,7-2018,12 Months,1.18,Gandhinagar
344,2,2017,2-2017,90 Days,11.19,Delhi
345,11,2017,11-2017,24 Months and more,1.18,Gandhinagar
346,4,2018,4-2018,6 Month,10.60,Jaipur
348,2,2017,2-2017,60 Days,6.99,Gandhinagar
350,9,2017,9-2017,6 Month,6.48,Shillong
352,9,2018,9-2018,90 Days,7.07,Mumbai
354,5,2017,5-2017,24 Months and more,2.94,Ranchi
355,1,2017,1-2017,90 Days,2.94,Srinagar
358,2,2018,2-2018,24 Months and more,12.95,Jaipur
359,1,2017,1-2017,6 Month,2.80,Bhopal
360,7,2018,7-2018,30 Days,9.42,Chandigarh
363,6,2018,6-2018,30 Days,5.89,Shillong
367,1,2017,1-2017,12 Months,12.59,Mumbai
368,2,2017,2-2017,6 Month,9.79,Srinagar
370,1,2017,1-2017,6 Month,0.59,Nagpur
372,4,2018,4-2018,12 Months,2.94,Srinagar
374,1,2018,1-2018,12 Months,5.89,Nasik
375,1,2017,1-2017,24 Months and more,5.30,Nagpur
376,9,2018,9-2018,30 Days,0.59,Bengaluru
378,11,2017,11-2017,24 Months and more,1.18,Jaipur
379,7,2017,7-2017,12 Months,2.36,Aurangabad
381,12,2018,12-2018,30 Days,3.53,Pune
382,11,2018,11-2018,12 Months,1.40,Delhi
385,5,2018,5-2018,60 Days,4.20,Jaipur
387,7,2018,7-2018,12 Months,1.77,Gandhinagar
389,11,2017,11-2017,60 Days,5.30,Ranchi
390,5,2018,5-2018,12 Months,3.53,Gandhinagar
392,3,2017,3-2017,60 Days,1.18,Delhi
393,2,2018,2-2018,6 Month,2.94,Shillong
395,8,2017,8-2017,24 Months and more,4.20,Jaipur
396,7,2017,7-2017,12 Months,1.18,Chandigarh
397,12,2017,12-2017,12 Months,14.13,Mumbai
398,6,2018,6-2018,24 Months and more,4.12,Bengaluru
399,3,2017,3-2017,60 Days,5.59,Chennai
402,8,2017,8-2017,60 Days,5.30,Mumbai
403,2,2018,2-2018,12 Months,6.48,Nasik
404,8,2017,8-2017,60 Days,1.40,Chandigarh
405,2,2018,2-2018,60 Days,5.59,Jaipur
406,3,2018,3-2018,12 Months,2.80,Bengaluru
408,8,2018,8-2018,30 Days,2.94,Jaipur
409,1,2018,1-2018,12 Months,15.38,Gandhinagar
410,1,2018,1-2018,30 Days,16.78,Chandigarh
411,3,2017,3-2017,60 Days,3.53,Shillong
414,3,2017,3-2017,60 Days,1.40,Ranchi
415,11,2018,11-2018,12 Months,7.07,Jaipur
417,1,2017,1-2017,90 Days,16.78,Jaipur
421,11,2018,11-2018,60 Days,5.89,Srinagar
425,7,2017,7-2017,24 Months and more,2.36,Nagpur
426,1,2017,1-2017,90 Days,1.18,Chennai
431,8,2017,8-2017,60 Days,10.60,Nasik
432,6,2017,6-2017,12 Months,8.24,Pune
433,12,2018,12-2018,90 Days,2.36,Srinagar
434,11,2018,11-2018,24 Months and more,11.19,Bhopal
435,4,2017,4-2017,6 Month,5.59,Nagpur
436,10,2018,10-2018,90 Days,3.53,Chennai
437,5,2018,5-2018,90 Days,6.48,Delhi
438,4,2017,4-2017,6 Month,2.94,Srinagar
439,7,2018,7-2018,90 Days,13.98,Delhi
442,4,2017,4-2017,60 Days,12.59,Bhopal
444,10,2017,10-2017,90 Days,11.19,Nagpur
445,11,2017,11-2017,6 Month,1.40,Shillong
446,12,2017,12-2017,24 Months and more,2.94,Bengaluru
447,12,2018,12-2018,12 Months,6.48,Bengaluru
448,5,2018,5-2018,12 Months,5.89,Shillong
452,10,2017,10-2017,24 Months and more,12.59,Mumbai
453,7,2018,7-2018,30 Days,4.20,Chandigarh
454,1,2017,1-2017,90 Days,4.71,Nagpur
455,6,2017,6-2017,6 Month,15.38,Srinagar
456,10,2017,10-2017,90 Days,12.59,Jaipur
457,4,2018,4-2018,12 Months,4.12,Gandhinagar
459,11,2017,11-2017,6 Month,7.07,Delhi
460,12,2017,12-2017,90 Days,5.89,Jaipur
461,5,2018,5-2018,90 Days,6.48,Chennai
462,12,2017,12-2017,60 Days,5.89,Aurangabad
463,6,2017,6-2017,60 Days,3.53,Chennai
465,7,2018,7-2018,24 Months and more,4.12,Ranchi
466,9,2017,9-2017,90 Days,7.07,Bengaluru
467,12,2017,12-2017,24 Months and more,8.39,Shillong
468,3,2017,3-2017,90 Days,13.98,Bhopal
471,5,2017,5-2017,24 Months and more,5.59,Srinagar
472,3,2018,3-2018,60 Days,1.18,Gandhinagar
473,10,2018,10-2018,90 Days,5.30,Shillong
474,2,2017,2-2017,90 Days,4.71,Ranchi
475,7,2018,7-2018,60 Days,4.20,Ranchi
476,7,2018,7-2018,60 Days,7.07,Chandigarh
477,8,2018,8-2018,60 Days,12.59,Aurangabad
478,12,2017,12-2017,30 Days,2.36,Aurangabad
479,10,2018,10-2018,30 Days,4.20,Chandigarh
482,7,2017,7-2017,60 Days,4.12,Chandigarh
483,10,2017,10-2017,60 Days,0.59,Chandigarh
485,9,2018,9-2018,30 Days,2.94,Aurangabad
486,9,2018,9-2018,90 Days,9.79,Jaipur
487,8,2017,8-2017,90 Days,1.77,Chennai
491,9,2017,9-2017,6 Month,7.07,Nasik
493,12,2018,12-2018,60 Days,4.20,Pune
495,5,2018,5-2018,90 Days,5.30,Bhopal
497,12,2018,12-2018,12 Months,2.36,Srinagar
499,8,2017,8-2017,30 Days,6.48,Chandigarh
500,12,2017,12-2017,24 Months and more,4.12,Bengaluru
501,4,2018,4-2018,12 Months,2.94,Shillong
502,1,2018,1-2018,6 Month,2.36,Bengaluru
503,12,2017,12-2017,30 Days,1.18,Nasik
505,12,2017,12-2017,6 Month,7.07,Pune
506,8,2018,8-2018,6 Month,6.99,Chennai
507,5,2017,5-2017,30 Days,4.20,Delhi
509,5,2018,5-2018,12 Months,5.30,Shillong
510,5,2018,5-2018,12 Months,5.30,Mumbai
512,10,2018,10-2018,12 Months,0.59,Bhopal
513,6,2018,6-2018,24 Months and more,8.39,Chennai
515,9,2017,9-2017,60 Days,5.30,Bhopal
518,5,2017,5-2017,60 Days,16.78,Shillong
520,4,2017,4-2017,30 Days,10.60,Delhi
521,7,2018,7-2018,90 Days,15.38,Nasik
523,11,2018,11-2018,6 Month,13.98,Shillong
525,12,2017,12-2017,6 Month,1.18,Ranchi
526,6,2018,6-2018,24 Months and more,4.71,Aurangabad
528,11,2017,11-2017,12 Months,3.53,Shillong
529,12,2017,12-2017,24 Months and more,11.78,Mumbai
530,7,2017,7-2017,90 Days,3.53,Srinagar
532,4,2018,4-2018,6 Month,5.30,Pune
533,5,2017,5-2017,30 Days,1.18,Shillong
534,8,2017,8-2017,6 Month,1.18,Nasik
535,4,2018,4-2018,12 Months,3.53,Mumbai
536,3,2017,3-2017,12 Months,4.12,Gandhinagar
537,3,2017,3-2017,90 Days,1.18,Delhi
538,2,2017,2-2017,24 Months and more,4.71,Chandigarh
540,1,2018,1-2018,90 Days,7.07,Bhopal
541,3,2017,3-2017,90 Days,1.18,Nagpur
542,1,2018,1-2018,6 Month,4.20,Bengaluru
543,6,2017,6-2017,6 Month,4.12,Srinagar
544,1,2017,1-2017,6 Month,16.78,Mumbai
545,10,2017,10-2017,90 Days,14.13,Gandhinagar
546,12,2018,12-2018,24 Months and more,5.30,Chandigarh
547,8,2017,8-2017,60 Days,8.39,Pune
549,4,2017,4-2017,30 Days,3.53,Bengaluru
550,6,2018,6-2018,6 Month,11.19,Jaipur
551,1,2018,1-2018,60 Days,4.20,Jaipur
552,12,2018,12-2018,60 Days,5.30,Bengaluru
553,9,2017,9-2017,30 Days,15.38,Mumbai
554,7,2018,7-2018,60 Days,5.89,Ranchi
555,12,2018,12-2018,60 Days,1.18,Ranchi
557,2,2018,2-2018,24 Months and more,8.39,Bhopal
558,5,2017,5-2017,30 Days,0.59,Jaipur
559,12,2017,12-2017,12 Months,1.18,Chennai
560,8,2018,8-2018,24 Months and more,4.71,Gandhinagar
561,7,2018,7-2018,24 Months and more,4.71,Delhi
562,2,2018,2-2018,90 Days,5.30,Nagpur
563,2,2018,2-2018,6 Month,1.77,Delhi
566,9,2017,9-2017,60 Days,1.18,Aurangabad
568,11,2017,11-2017,60 Days,1.77,Chennai
570,11,2017,11-2017,90 Days,5.30,Chennai
573,5,2018,5-2018,60 Days,13.98,Jaipur
574,12,2018,12-2018,90 Days,2.36,Jaipur
576,11,2017,11-2017,12 Months,16.78,Delhi
577,12,2018,12-2018,30 Days,5.89,Ranchi
578,10,2017,10-2017,60 Days,3.53,Bhopal
581,11,2018,11-2018,90 Days,2.36,Nasik
582,9,2018,9-2018,24 Months and more,1.18,Jaipur
583,3,2017,3-2017,6 Month,5.30,Chennai
584,10,2017,10-2017,6 Month,3.53,Bengaluru
586,5,2017,5-2017,60 Days,4.71,Mumbai
588,5,2017,5-2017,90 Days,6.48,Srinagar
589,11,2017,11-2017,60 Days,3.53,Shillong
590,4,2017,4-2017,6 Month,2.94,Nagpur
591,8,2018,8-2018,24 Months and more,5.89,Chennai
594,12,2017,12-2017,90 Days,6.48,Bhopal
597,9,2017,9-2017,60 Days,3.53,Jaipur
599,5,2017,5-2017,6 Month,1.77,Pune
600,10,2017,10-2017,6 Month,4.71,Aurangabad
601,4,2018,4-2018,60 Days,12.59,Chandigarh
602,3,2018,3-2018,30 Days,5.89,Shillong
604,8,2017,8-2017,12 Months,11.19,Srinagar
606,6,2018,6-2018,30 Days,5.30,Nagpur
607,11,2017,11-2017,30 Days,5.30,Aurangabad
608,5,2018,5-2018,30 Days,10.60,Chennai
609,11,2018,11-2018,30 Days,3.53,Chandigarh
610,3,2017,3-2017,30 Days,5.89,Mumbai
613,8,2018,8-2018,60 Days,0.59,Aurangabad
614,12,2018,12-2018,24 Months and more,0.59,Jaipur
615,5,2018,5-2018,12 Months,11.19,Jaipur
617,10,2018,10-2018,90 Days,8.39,Gandhinagar
621,7,2018,7-2018,90 Days,4.71,Srinagar
622,10,2017,10-2017,60 Days,5.89,Chennai
623,4,2018,4-2018,60 Days,7.07,Srinagar
625,5,2017,5-2017,30 Days,7.07,Mumbai
626,7,2018,7-2018,90 Days,0.59,Chennai
627,5,2018,5-2018,24 Months and more,3.53,Nasik
631,11,2017,11-2017,24 Months and more,11.78,Srinagar
632,10,2017,10-2017,24 Months and more,4.12,Srinagar
633,3,2017,3-2017,12 Months,14.13,Mumbai
634,12,2018,12-2018,12 Months,2.94,Mumbai
635,5,2018,5-2018,12 Months,9.42,Mumbai
638,8,2017,8-2017,30 Days,9.79,Mumbai
639,1,2018,1-2018,90 Days,11.19,Ranchi
640,12,2017,12-2017,6 Month,16.78,Shillong
641,5,2018,5-2018,12 Months,2.36,Chandigarh
642,5,2017,5-2017,12 Months,4.12,Bhopal
643,3,2017,3-2017,12 Months,13.98,Shillong
644,7,2018,7-2018,12 Months,5.89,Aurangabad
645,11,2018,11-2018,90 Days,1.40,Pune
646,5,2018,5-2018,60 Days,7.07,Jaipur
647,2,2017,2-2017,60 Days,4.12,Nasik
648,8,2018,8-2018,6 Month,7.07,Jaipur
649,2,2018,2-2018,30 Days,5.30,Aurangabad
650,5,2017,5-2017,24 Months and more,7.07,Gandhinagar
651,9,2018,9-2018,6 Month,13.98,Delhi
653,5,2018,5-2018,12 Months,7.07,Bengaluru
655,5,2018,5-2018,30 Days,3.53,Delhi
656,2,2017,2-2017,12 Months,4.12,Nasik
657,6,2017,6-2017,24 Months and more,1.77,Pune
658,5,2017,5-2017,24 Months and more,4.12,Delhi
659,6,2018,6-2018,90 Days,15.38,Nasik
661,11,2017,11-2017,90 Days,0.59,Srinagar
662,7,2018,7-2018,6 Month,12.59,Mumbai
663,1,2018,1-2018,60 Days,4.12,Bengaluru
664,4,2017,4-2017,30 Days,5.30,Bhopal
665,10,2018,10-2018,60 Days,11.19,Pune
666,6,2017,6-2017,6 Month,2.36,Bengaluru
670,7,2018,7-2018,6 Month,16.78,Aurangabad
671,5,2017,5-2017,12 Months,8.39,Pune
675,11,2018,11-2018,90 Days,1.40,Pune
676,3,2018,3-2018,6 Month,4.71,Nasik
677,3,2017,3-2017,24 Months and more,0.59,Bhopal
678,6,2018,6-2018,90 Days,2.36,Gandhinagar
681,8,2017,8-2017,24 Months and more,7.07,Nasik
682,11,2018,11-2018,12 Months,3.53,Bengaluru
683,10,2018,10-2018,6 Month,10.60,Nagpur
684,12,2017,12-2017,30 Days,5.59,Nasik
685,9,2017,9-2017,6 Month,7.07,Chandigarh
686,2,2018,2-2018,60 Days,11.78,Gandhinagar
688,4,2017,4-2017,24 Months and more,8.24,Jaipur
689,6,2017,6-2017,30 Days,1.77,Mumbai
691,2,2018,2-2018,24 Months and more,1.77,Bhopal
693,7,2018,7-2018,30 Days,11.19,Nasik
694,11,2017,11-2017,30 Days,5.59,Pune
695,2,2017,2-2017,24 Months and more,4.71,Chennai
699,5,2017,5-2017,30 Days,9.42,Delhi
701,5,2018,5-2018,60 Days,14.13,Jaipur
702,7,2017,7-2017,90 Days,1.18,Mumbai
703,10,2018,10-2018,12 Months,13.98,Bengaluru
706,3,2018,3-2018,30 Days,11.19,Srinagar
708,2,2018,2-2018,12 Months,1.18,Jaipur
709,11,2018,11-2018,6 Month,4.71,Nasik
710,4,2018,4-2018,90 Days,5.89,Nagpur
712,4,2018,4-2018,6 Month,6.48,Ranchi
713,9,2018,9-2018,90 Days,9.79,Srinagar
714,2,2018,2-2018,30 Days,11.19,Chandigarh
715,8,2017,8-2017,24 Months and more,1.77,Chennai
717,2,2018,2-2018,12 Months,5.89,Gandhinagar
718,9,2017,9-2017,24 Months and more,1.18,Delhi
719,12,2018,12-2018,12 Months,13.98,Mumbai
721,11,2018,11-2018,60 Days,9.79,Jaipur
722,1,2017,1-2017,30 Days,16.78,Pune
723,2,2017,2-2017,30 Days,12.59,Bengaluru
724,10,2017,10-2017,12 Months,2.36,Mumbai
726,11,2018,11-2018,6 Month,12.59,Srinagar
728,5,2017,5-2017,12 Months,0.59,Aurangabad
729,6,2017,6-2017,90 Days,13.98,Nasik
730,6,2017,6-2017,12 Months,16.78,Nagpur
731,1,2018,1-2018,12 Months,1.18,Nasik
733,1,2017,1-2017,24 Months and more,1.18,Chandigarh
737,3,2018,3-2018,6 Month,2.36,Gandhinagar
738,2,2017,2-2017,30 Days,2.36,Jaipur
739,12,2018,12-2018,60 Days,16.78,Chandigarh
742,2,2018,2-2018,12 Months,3.53,Bhopal
743,9,2018,9-2018,12 Months,1.77,Aurangabad
744,6,2017,6-2017,60 Days,1.40,Delhi
745,12,2018,12-2018,30 Days,1.18,Nasik
746,12,2018,12-2018,6 Month,5.59,Nagpur
747,2,2018,2-2018,12 Months,3.53,Mumbai
748,5,2017,5-2017,90 Days,3.53,Chennai
749,9,2017,9-2017,90 Days,4.20,Shillong
